,timestamp,user,year,month
0,2014-02-25 08:08:06,mateiz,2014,2
1,2014-02-25 20:16:59,beyang,2014,2
2,2014-02-26 07:52:29,abo,2014,2
3,2014-02-26 22:43:56,CodingCat,2014,2
4,2014-02-26 23:45:44,andy327,2014,2
5,2014-02-27 00:55:49,CrazyJvm,2014,2
6,2014-02-27 05:25:56,jyotiska,2014,2
7,2014-02-27 08:01:52,BaiGang,2014,2
8,2014-02-27 10:17:46,sundstei,2014,2
9,2014-02-27 22:33:08,dianacarroll,2014,2
10,2014-02-28 05:18:08,ybotco,2014,2
11,2014-02-28 05:26:09,xelax,2014,2
12,2014-02-28 09:12:52,invkrh,2014,2
13,2014-02-28 16:46:56,bedla,2014,2
14,2014-03-01 01:12:45,nadesai,2014,3
15,2014-03-01 18:52:48,pcpratts,2014,3
16,2014-03-01 21:47:09,narkisr,2014,3
17,2014-03-02 02:07:29,Honghe,2014,3
18,2014-03-03 00:12:08,Jacke,2014,3
19,2014-03-03 02:36:52,xiajunluan,2014,3
20,2014-03-03 05:29:14,liuliu6000,2014,3
21,2014-03-03 09:18:22,cjie888,2014,3
22,2014-03-03 12:08:27,willianzhao,2014,3
23,2014-03-03 12:32:53,tetor,2014,3
24,2014-03-03 16:13:02,soumyasd,2014,3
25,2014-03-03 19:11:12,mattcoarr,2014,3
26,2014-03-03 20:30:16,TimothyKlim,2014,3
27,2014-03-03 21:28:59,npclaudiu,2014,3
28,2014-03-04 02:23:11,shunwang,2014,3
29,2014-03-04 06:09:55,esafak,2014,3
30,2014-03-04 08:42:16,ctava,2014,3
31,2014-03-04 10:26:04,praveenr019,2014,3
32,2014-03-04 11:58:39,csyangchen,2014,3
33,2014-03-05 00:00:52,sudhirpatil,2014,3
34,2014-03-05 06:25:30,soulmachine,2014,3
35,2014-03-05 14:16:48,martinjaggi,2014,3
36,2014-03-05 14:44:29,lavenresearch,2014,3
37,2014-03-06 03:43:08,sun-rui,2014,3
38,2014-03-06 08:49:17,wlqpku,2014,3
39,2014-03-06 09:38:24,eugeneiiim,2014,3
40,2014-03-06 10:16:23,debugger87,2014,3
41,2014-03-06 19:28:53,berngp,2014,3
42,2014-03-06 19:56:02,wendigo,2014,3
43,2014-03-07 05:25:40,takatoshi,2014,3
44,2014-03-07 16:24:49,l2yao,2014,3
45,2014-03-07 19:02:11,velvia,2014,3
46,2014-03-08 07:36:42,xianhengma,2014,3
47,2014-03-08 12:54:01,XuefengWu,2014,3
48,2014-03-09 19:39:11,neza4em,2014,3
49,2014-03-10 04:51:21,aht,2014,3
50,2014-03-10 07:18:11,mychaelstyle,2014,3
51,2014-03-10 12:34:36,bhnedo,2014,3
52,2014-03-10 17:29:14,RCheungIT,2014,3
53,2014-03-10 20:19:17,rubanm,2014,3
