,timestamp,user,year,month
0,2013-01-18 18:10:57,shykes,2013,1
1,2013-01-18 18:10:57,sriramk,2013,1
2,2013-01-18 18:10:57,mzdaniel,2013,1
3,2013-01-18 18:10:57,lopter,2013,1
4,2013-01-18 18:10:57,chooper,2013,1
5,2013-01-18 18:10:57,kencochrane,2013,1
6,2013-01-18 18:10:57,johncosta,2013,1
7,2013-01-18 18:10:57,metalivedev,2013,1
8,2013-03-01 16:58:56,jpetazzo,2013,3
9,2013-03-09 04:32:46,carlhoerberg,2013,3
10,2013-03-12 03:42:54,samalba,2013,3
11,2013-03-14 11:09:43,creack,2013,3
12,2013-03-16 23:38:26,platten,2013,3
13,2013-03-17 19:03:17,fkautz,2013,3
14,2013-03-17 20:51:14,mstepniowski,2013,3
15,2013-03-18 11:56:28,fsouza,2013,3
16,2013-03-20 00:22:32,srid,2013,3
17,2013-03-20 17:43:16,themgt,2013,3
18,2013-03-20 19:46:30,yebyen,2013,3
19,2013-03-20 22:34:21,tomjohnson3,2013,3
20,2013-03-21 01:10:51,JeanSebTr,2013,3
21,2013-03-21 07:33:13,ezbercih,2013,3
22,2013-03-21 14:06:50,LeeSaferite,2013,3
23,2013-03-21 16:08:48,ayosec,2013,3
24,2013-03-21 21:10:38,dylanvee,2013,3
25,2013-03-22 15:44:50,dedene,2013,3
26,2013-03-24 01:17:45,benbro,2013,3
27,2013-03-24 03:29:20,cmfatih,2013,3
28,2013-03-25 05:38:49,reeze,2013,3
29,2013-03-26 05:23:06,andrewsmedina,2013,3
30,2013-03-26 16:50:47,vsekhar,2013,3
31,2013-03-26 18:02:47,fwal,2013,3
32,2013-03-26 18:08:53,sidnei,2013,3
33,2013-03-26 18:09:49,peterkeen,2013,3
34,2013-03-26 18:22:45,conrman,2013,3
35,2013-03-26 18:32:04,ppetraki,2013,3
36,2013-03-26 19:00:17,bcsaller,2013,3
37,2013-03-26 19:01:02,mqrelly,2013,3
38,2013-03-26 19:11:13,jsternberg,2013,3
39,2013-03-26 19:17:24,jcru,2013,3
40,2013-03-26 19:18:28,barnabyc,2013,3
41,2013-03-26 19:18:38,chrismytton,2013,3
42,2013-03-26 19:18:58,daeltar,2013,3
43,2013-03-26 19:21:40,fernandogrd,2013,3
44,2013-03-26 19:21:47,jimmycuadra,2013,3
45,2013-03-26 19:23:25,bfirsh,2013,3
46,2013-03-26 19:26:04,borntyping,2013,3
47,2013-03-26 19:26:19,dforsyth,2013,3
48,2013-03-26 19:27:33,drscream,2013,3
49,2013-03-26 19:28:21,icholy,2013,3
50,2013-03-26 19:30:36,bketelsen,2013,3
51,2013-03-26 19:34:29,gerow,2013,3
52,2013-03-26 19:34:39,blparker,2013,3
53,2013-03-26 19:36:14,kraih,2013,3
54,2013-03-26 19:36:17,abdollar,2013,3
55,2013-03-26 19:37:53,sdolard,2013,3
56,2013-03-26 19:37:54,rationalthug,2013,3
57,2013-03-26 19:38:23,larzconwell,2013,3
58,2013-03-26 19:39:10,brianbianco,2013,3
59,2013-03-26 19:39:12,Lawouach,2013,3
60,2013-03-26 19:43:05,gmarik,2013,3
61,2013-03-26 19:43:30,pshc,2013,3
62,2013-03-26 19:45:06,amoffat,2013,3
63,2013-03-26 19:45:42,pauek,2013,3
64,2013-03-26 19:47:15,klynton,2013,3
